timestamp,Capture Time Gap,In Throughput,Out Throughput,CBIQ,deepcci,in_seq_num,out_seq_num
0.0,0.0,12.112,12.112,0,1.0,995046991.0,995046991.0
0.001,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.002,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.003,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.004,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.005,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.006,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.007,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.008,8010.0,12.112,0.0,0,1.0,995049887.0,0.0
0.009,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.01,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.011,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.012,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.013,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.014,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.015,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.016,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.017,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.018,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.019,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.02,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.021,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.022,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.023,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.024,15983.0,12.112,0.0,0,1.0,995052783.0,0.0
0.025,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.026,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.027,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.028,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.029,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.03,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.031,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.032,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.033,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.034,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.035,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.036,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.037,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.038,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.039,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.04,15970.0,12.112,0.0,0,1.0,995055679.0,0.0
0.041,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.042,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.043,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.044,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.045,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.046,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.047,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.048,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.049,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.05,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.051,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.052,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.053,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.054,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.055,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.056,15972.0,24.224,12.112,0,2.0,995058575.0,995058575.0
0.057,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.058,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.059,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.06,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.061,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.062,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.063,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.064,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.065,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.066,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.067,-1.0,0.0,0.0,0,0.0,0.0,0.0
