timestamp,Capture Time Gap,In Throughput,Out Throughput,CBIQ,deepcci,in_seq_num,out_seq_num
0.0,0.0,12.112,24.224,871696,1.0,2080808693.0,2079936997.0
0.001,981.0,12.112,12.112,829704,1.0,2080908605.0,2080078901.0
0.002,1059.0,58.448,12.112,738480,1.0,2080934669.0,2080196189.0
0.003,1399.0,12.112,12.112,677664,1.0,2080988245.0,2080310581.0
0.004,-1.0,0.0,12.112,0,0.0,0.0,2080455381.0
0.005,1832.0,12.112,12.112,487976,1.0,2081037477.0,2080549501.0
0.006,-1.0,0.0,12.112,0,0.0,0.0,2080681269.0
0.007,1890.0,12.112,12.112,425712,1.0,2081209789.0,2080784077.0
0.008,923.0,12.112,12.112,421368,1.0,2081324181.0,2080902813.0
0.009,945.0,197.456,12.112,373584,1.0,2081411061.0,2081037477.0
0.01,996.0,12.112,12.112,362000,1.0,2081499389.0,2081137389.0
0.011,1163.0,12.112,12.112,257744,1.0,2081512421.0,2081254677.0
0.012,1169.0,12.112,12.112,262088,1.0,2081635501.0,2081373413.0
0.013,901.0,12.112,12.112,257744,1.0,2081751341.0,2081493597.0
0.014,983.0,12.112,12.112,172312,1.0,2081781749.0,2081609437.0
0.015,755.0,12.112,12.112,176656,1.0,2081904829.0,2081728173.0
0.016,1196.0,12.112,12.112,152040,1.0,2081997501.0,2081845461.0
0.017,-1.0,0.0,12.112,0,0.0,0.0,2081962749.0
0.018,1484.0,24.224,12.112,0,2.0,2082055421.0,2082078589.0
0.019,890.0,12.112,12.112,8688,1.0,2082206013.0,2082197325.0
0.02,1265.0,12.112,12.112,0,1.0,2082220493.0,2082220493.0
0.021,1023.0,12.112,12.112,0,1.0,2082318957.0,2082318957.0
0.022,1254.0,12.112,12.112,0,1.0,2082391357.0,2082391357.0
0.023,925.0,12.112,12.112,0,1.0,2082444933.0,2082444933.0
0.024,755.0,12.112,12.112,0,1.0,2082515885.0,2082515885.0
0.025,925.0,12.112,12.112,0,1.0,2082599869.0,2082599869.0
0.026,986.0,12.112,12.112,0,1.0,2082633173.0,2082633173.0
0.027,1058.0,12.112,12.112,0,1.0,2082646205.0,2082646205.0
0.028,1031.0,12.112,12.112,31856,1.0,2082798245.0,2082766389.0
0.029,722.0,12.112,12.112,0,1.0,2082856165.0,2082856165.0
0.03,1215.0,12.112,12.112,0,1.0,2082937253.0,2082937253.0
0.031,947.0,12.112,12.112,0,1.0,2082999517.0,2082999517.0
0.032,1003.0,12.112,12.112,0,1.0,2083032821.0,2083032821.0
0.033,1008.0,12.112,12.112,0,1.0,2083147213.0,2083147213.0
0.034,1436.0,12.112,12.112,0,1.0,2083228301.0,2083228301.0
0.035,1048.0,12.112,12.112,2896,1.0,2083309389.0,2083306493.0
0.036,928.0,12.112,12.112,14480,1.0,2083390477.0,2083375997.0
0.037,491.0,12.112,12.112,0,1.0,2083444053.0,2083444053.0
0.038,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.039,1588.0,24.224,24.224,0,2.0,2083532381.0,2083532381.0
0.04,1065.0,12.112,12.112,0,1.0,2083680077.0,2083680077.0
0.041,1235.0,12.112,12.112,0,1.0,2083781437.0,2083781437.0
0.042,989.0,12.112,12.112,10136,1.0,2083894381.0,2083884245.0
0.043,920.0,12.112,12.112,0,1.0,2083942165.0,2083942165.0
0.044,901.0,12.112,12.112,0,1.0,2084036285.0,2084036285.0
0.045,1063.0,12.112,12.112,0,1.0,2084063797.0,2084063797.0
0.046,969.0,12.112,12.112,0,1.0,2084065245.0,2084065245.0
0.047,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.048,1543.0,35.28,24.224,0,1.0,2084153573.0,2084153573.0
0.049,1403.0,12.112,12.112,0,1.0,2084237557.0,2084237557.0
0.05,-1.0,0.0,12.112,0,0.0,0.0,2084395389.0
0.051,2014.0,12.112,12.112,0,1.0,2084451861.0,2084451861.0
0.052,1293.0,12.112,0.0,0,1.0,2084550325.0,0.0
0.053,1129.0,12.112,12.112,0,1.0,2084640101.0,2084640101.0
0.054,-1.0,0.0,12.112,0,0.0,0.0,2084725533.0
0.055,1303.0,12.112,12.112,0,1.0,2084729877.0,2084786349.0
0.056,1244.0,12.112,12.112,0,1.0,2084851509.0,2084851509.0
0.057,1156.0,23.696,12.112,0,1.0,2084907981.0,2084907981.0
0.058,1284.0,35.28,12.112,0,1.0,2084987621.0,2084987621.0
0.059,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.06,1178.0,46.864,24.224,0,1.0,2085067261.0,2085067261.0
0.061,1376.0,12.112,12.112,0,1.0,2085188893.0,2085188893.0
0.062,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.063,2165.0,12.112,12.112,0,1.0,2085277221.0,2085277221.0
0.064,915.0,12.112,12.112,8688,1.0,2085424917.0,2085416229.0
0.065,1208.0,12.112,12.112,43440,1.0,2085579853.0,2085536413.0
0.066,-1.0,0.0,12.112,0,0.0,0.0,2085658045.0
0.067,1463.0,46.864,12.112,0,1.0,2085669629.0,2085747821.0
0.068,989.0,12.112,12.112,0,1.0,2085762301.0,2085828909.0
0.069,1508.0,70.032,12.112,0,1.0,2085857869.0,2085857869.0
0.07,1254.0,12.112,12.112,0,1.0,2085988189.0,2085988189.0
0.071,945.0,12.112,12.112,2896,1.0,2086069277.0,2086066381.0
0.072,1075.0,12.112,12.112,0,1.0,0.0,2086154709.0
0.073,-1.0,0.0,12.112,0,0.0,0.0,2086253173.0
0.074,1451.0,12.112,12.112,0,1.0,0.0,2086267653.0
0.075,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.076,1842.0,394.912,24.224,0,2.0,2086300957.0,2086300957.0
0.077,961.0,12.112,12.112,0,1.0,2086452997.0,2086452997.0
0.078,1048.0,348.048,12.112,121632,1.0,2086691917.0,2086570285.0
0.079,1391.0,12.112,12.112,43440,1.0,2086735357.0,2086691917.0
0.08,1007.0,12.112,12.112,112944,1.0,2086917805.0,2086804861.0
0.081,-1.0,0.0,12.112,0,0.0,0.0,2086936629.0
0.082,1389.0,12.112,12.112,40544,1.0,2087081429.0,2087040885.0
0.083,1232.0,12.112,12.112,1448,1.0,2087168309.0,2087166861.0
0.084,1472.0,12.112,12.112,72400,1.0,2087360893.0,2087288493.0
0.085,993.0,12.112,12.112,104256,1.0,2087497005.0,2087392749.0
0.086,-1.0,0.0,12.112,0,0.0,0.0,2087523069.0
0.087,1750.0,12.112,12.112,0,1.0,2087611397.0,2087611397.0
0.088,-1.0,0.0,12.112,0,0.0,0.0,2087734477.0
0.089,1470.0,24.224,12.112,0,2.0,2087812669.0,2087848869.0
0.09,1222.0,12.112,12.112,0,1.0,0.0,2087979189.0
0.091,-1.0,0.0,12.112,0,0.0,0.0,2088079101.0
0.092,1775.0,12.112,12.112,0,1.0,0.0,2088222453.0
0.093,720.0,12.112,12.112,39096,1.0,2088373045.0,2088333949.0
0.094,1282.0,12.112,12.112,118736,1.0,2088546805.0,2088428069.0
0.095,1177.0,12.112,12.112,124528,1.0,2088671333.0,2088546805.0
0.096,-1.0,0.0,12.112,0,0.0,0.0,2088671333.0
0.097,1606.0,58.448,12.112,0,1.0,2088711877.0,2088711877.0
0.098,1028.0,12.112,12.112,2896,1.0,2088837853.0,2088834957.0
0.099,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.1,1805.0,35.28,12.112,0,1.0,2088923285.0,2088923285.0
0.101,1184.0,12.112,12.112,0,1.0,2089030437.0,2089030437.0
0.102,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.103,1802.0,12.112,12.112,0,1.0,2089124557.0,2089124557.0
0.104,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.105,1663.0,46.864,24.224,0,1.0,2089240397.0,2089240397.0
0.106,1210.0,82.144,12.112,0,2.0,2089402573.0,2089404021.0
0.107,1425.0,46.864,12.112,0,1.0,2089454701.0,2089454701.0
0.108,1191.0,23.696,0.0,0,1.0,2089498141.0,0.0
0.109,-1.0,0.0,12.112,0,0.0,0.0,2089566197.0
0.11,1703.0,23.696,12.112,0,1.0,2089631357.0,2089631357.0
0.111,1112.0,12.112,12.112,23168,1.0,2089761677.0,2089738509.0
0.112,-1.0,0.0,12.112,0,0.0,0.0,2089852901.0
0.113,1377.0,58.448,12.112,0,1.0,2089870277.0,2089933989.0
0.114,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.115,1941.0,12.112,24.224,0,1.0,2089999149.0,2089999149.0
0.116,1500.0,12.112,12.112,0,1.0,2090158429.0,2090158429.0
0.117,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.118,1493.0,12.112,24.224,0,1.0,2090259789.0,2090259789.0
0.119,1656.0,23.696,12.112,0,1.0,2090401693.0,2090401693.0
0.12,773.0,12.112,12.112,0,1.0,2090492917.0,2090492917.0
0.121,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.122,1960.0,12.112,12.112,0,1.0,2090543597.0,2090543597.0
0.123,1467.0,12.112,0.0,0,1.0,2090631925.0,0.0
0.124,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.125,1223.0,104.784,24.224,0,1.0,2090702877.0,2090702877.0
0.126,1664.0,12.112,12.112,0,1.0,2090820165.0,2090820165.0
0.127,-1.0,0.0,12.112,0,0.0,0.0,2090925869.0
0.128,1975.0,12.112,12.112,0,1.0,2090970757.0,2090970757.0
0.129,782.0,162.704,12.112,24616,1.0,2091086597.0,2091061981.0
0.13,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.131,1518.0,46.864,24.224,0,1.0,2091166237.0,2091166237.0
0.132,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.133,1989.0,360.16,24.224,0,2.0,2091312485.0,2091312485.0
0.134,-1.0,0.0,0.0,0,0.0,0.0,0.0
0.135,1412.0,255.904,24.224,0,2.0,2091465973.0,2091465973.0
0.136,1267.0,12.112,12.112,0,1.0,2091545613.0,2091545613.0
0.137,-1.0,0.0,12.112,0,0.0,0.0,2091674485.0
0.138,1520.0,12.112,12.112,0,1.0,2091680277.0,2091752677.0
